handle,variant_id,variant_sku,variant_barcode,product_group,variant_title,product_title,subtitle,description,brand,category_handle,collection_handle,dietary_flags,tags,allergens,ingredients,storage,country_of_origin,weight_value,weight_unit,thumbnail_url,image_filenames,velocity,eco_rating,brand_slug,vat_rate,regional_tags,subscription_eligible,status,variant_title_raw,variant_sku_raw
4567660527688,variant_01KSQVBFCDGAR6ZM8WAEFHTMMZ,natco-soya-chunks-700g,,,700g,Natco - Soya Chunks,,Protein-rich soya from Natco Foods. Versatile meat alternative for curries and snacks.,Natco,canned_preserved_vegetables,,vegetarian;vegan,,soya,See product packaging for full ingredients list,,India,700,g,/uploads/natco_soya-chunks-700g.jpg,,A,,natco,0,,true,published,Default,R7360
4567660527688,variant_01KSQVCA0W7XRXX6ERV8HFFSV6,natco-soya-chunks-350g,,,350g,Natco - Soya Chunks,,Protein-rich soya from Natco Foods. Versatile meat alternative for curries and snacks.,Natco,canned_preserved_vegetables,,vegetarian;vegan,,soya,See product packaging for full ingredients list,,India,350,g,/uploads/natco_soya-chunks-350g.jpg,,A,,natco,0,,true,published,Default,R7380
6647387652168,variant_01KSQVBFK5ZT3FJG3ABZD3XK2T,natco-black-eyed-beans-400g,,,400g,Natco - Black Eyed Beans,,Ready-to-eat tinned pulses from Natco Foods. Convenient; no soaking required.,Natco,beans_peas_pulses,,vegetarian;vegan;gluten-free,,,See product packaging for full ingredients list,,India,400,g,/uploads/natco_black-eyed-beans-400g.jpg,,A,,natco,0,,true,published,Default,C2330
6579342409800,variant_01KSQVBFRGKE1S32FEDPD6AQEY,natco-white-kidney-beans-400g,,,400g,Natco - White Kidney Beans,,Ready-to-eat tinned pulses from Natco Foods. Convenient; no soaking required.,Natco,beans_peas_pulses,,vegetarian;vegan;gluten-free,,,See product packaging for full ingredients list,,India,400,g,/uploads/natco_white-kidney-beans-400g.jpg,,A,,natco,0,,true,published,Default,C2350
6535757660232,variant_01KSQVBG1SFNW6AJVSDBB8E3QS,natco-bhel-puri-kit-500g,,,500g,Natco - Bhel Puri Kit,,Traditional Indian savoury snacks from Natco Foods. Perfect tea-time treats.,Natco,savouries_papadoms,,vegetarian,,gluten;peanuts,See product packaging for full ingredients list,,India,500,g,/uploads/natco_bhel-puri-kit-500g.jpg,,A,,natco,0,,true,published,Default,C7510
4583223754824,variant_01KSQVBG6YKXC3F2XN480VJ9E5,natco-chick-peas-full-case-4x1kg-1kg,,,1kg,Natco - Chick Peas Full Case 4x1kg,,Our products are manufactured in a site that handles gluten; soya;./images/natco_chick-peas-full-case-4x1kg.jpg; nuts; peanuts; sesame; mustard; celery and sulphites.,Natco,beans_peas_pulses,,vegetarian,,,See product packaging for full ingredients list,,India,1,kg,/uploads/natco_chick-peas-full-case-4x1kg.jpg,,A,,natco,0,,true,published,Default,L3158
4583223394376,variant_01KSQVBGC5MAHGV0DF6KWAD38J,natco-red-kidney-beans-25kg,,,2.5kg,Natco - Red Kidney Beans,,Ready-to-eat tinned pulses from Natco Foods. Convenient; no soaking required.,Natco,beans_peas_pulses,,vegetarian;vegan;gluten-free,,,See product packaging for full ingredients list,,India,2.5,kg,/uploads/natco_red-kidney-beans-25kg.jpg,,A,,natco,0,,true,published,Default,C2305
4583223394376,variant_01KSQVBHG5MZGQAHRCWTQS23DZ,natco-red-kidney-beans-1kg,,,1kg,Natco - Red Kidney Beans,,Premium dried pulses from Natco Foods. Rich in protein; essential for Indian dal and curries.,Natco,beans_peas_pulses,,vegetarian;vegan;gluten-free,,,See product packaging for full ingredients list,,India,1,kg,/uploads/natco_red-kidney-beans-1kg.jpg,,A,,natco,0,,true,published,Default,L5748
4583223394376,variant_01KSQVBHMJNSNZ0HFJV1PTNXK3,natco-red-kidney-beans-2kg,,,2kg,Natco - Red Kidney Beans,,Our products are manufactured in a site that handles gluten; soya;./images/natco_red-kidney-beans-2kg.jpg; nuts; peanuts; sesame; mustard; celery and sulphites.,Natco,beans_peas_pulses,,vegetarian;vegan;gluten-free,,,See product packaging for full ingredients list,,India,2,kg,/uploads/natco_red-kidney-beans-2kg.jpg,,A,,natco,0,,true,published,Default,L5750
4583223361608,variant_01KSQVBGHGQEZJWJJDY2HDEVHD,natco-red-kidney-beans-boiled-full-case-12x400g-400g,,,400g,Natco - Red Kidney Beans Boiled Full Case 12x400g,,Ready-to-eat tinned pulses from Natco Foods. Convenient; no soaking required.,Natco,beans_peas_pulses,,vegetarian,,,See product packaging for full ingredients list,,India,400,g,/uploads/natco_red-kidney-beans-boiled-full-case-12x400g.jpg,,A,,natco,0,,true,published,Default,C2300
