term,synonyms
"ajwain","carom seeds;bishop's weed"
"arhar dal","toor dal;pigeon pea;split pigeon peas"
"asafoetida","hing;heeng"
"ata","atta;chapatti flour;whole wheat flour;chakki atta"
"atta","chapatti flour;whole wheat flour;chakki atta;ata"
"aval","poha;flattened rice;beaten rice"
"beaten rice","poha;flattened rice;aval"
"besan","chickpea flour;gram flour;chana flour"
"bishop's weed","ajwain;carom seeds"
"bitter gourd","karela;bitter melon"
"bitter melon","karela;bitter gourd"
"black gram","urad;urid;black lentils"
"black lentils","urad;urid;black gram"
"cane sugar","shakkar;unrefined sugar"
"carom seeds","ajwain;bishop's weed"
"chakki atta","atta;chapatti flour;whole wheat flour;ata"
"chana","chickpeas;garbanzo;chole"
"chana flour","besan;chickpea flour;gram flour"
"chapatti flour","atta;whole wheat flour;chakki atta;ata"
"chickpea flour","besan;gram flour;chana flour"
"chickpeas","chana;garbanzo;chole"
"chili","mirchi;chilli;chilli powder;red chilli"
"chilli","mirchi;chili;chilli powder;red chilli"
"chilli powder","mirchi;chilli;chili;red chilli"
"chole","chana;chickpeas;garbanzo"
"clarified butter","ghee;desi ghee"
"coriander","dhania;coriander powder;dhana"
"coriander powder","dhania;coriander;dhana"
"cottage cheese","paneer;indian cheese;panir"
"cream of wheat","sooji;semolina;rava;suji"
"cumin","jeera;cumin seeds;zeera"
"cumin seeds","jeera;cumin;zeera"
"curry leaves","kadi patta;meetha neem"
"daal","dal;dhal;lentils;lentil"
"daikon","mooli;white radish;mouli"
"dal","daal;dhal;lentils;lentil"
"desi ghee","ghee;clarified butter"
"dhal","dal;daal;lentils;lentil"
"dhana","dhania;coriander;coriander powder"
"dhania","coriander;coriander powder;dhana"
"fennel","saunf;fennel seeds"
"fennel seeds","saunf;fennel"
"fenugreek","methi;fenugreek leaves;methi leaves"
"fenugreek leaves","methi;fenugreek;methi leaves"
"five spice bengali","panch phoron;panch puran"
"flattened rice","poha;beaten rice;aval"
"garbanzo","chana;chickpeas;chole"
"ghee","clarified butter;desi ghee"
"gram flour","besan;chickpea flour;chana flour"
"green gram","moong;mung"
"haldi","turmeric;turmeric powder"
"heeng","hing;asafoetida"
"hing","asafoetida;heeng"
"imli","tamarind"
"indian cheese","paneer;cottage cheese;panir"
"jeera","cumin seeds;cumin;zeera"
"kadi patta","curry leaves;meetha neem"
"karela","bitter melon;bitter gourd"
"lentil","dal;daal;dhal;lentils"
"lentils","dal;daal;dhal;lentil"
"meetha neem","kadi patta;curry leaves"
"methi","fenugreek;fenugreek leaves;methi leaves"
"methi leaves","methi;fenugreek;fenugreek leaves"
"mirchi","chilli;chili;chilli powder;red chilli"
"mooli","daikon;white radish;mouli"
"moong","mung;green gram"
"mouli","mooli;daikon;white radish"
"mung","moong;green gram"
"namak","salt"
"panch phoron","five spice bengali;panch puran"
"panch puran","panch phoron;five spice bengali"
"paneer","indian cheese;cottage cheese;panir"
"panir","paneer;indian cheese;cottage cheese"
"pigeon pea","arhar dal;toor dal;split pigeon peas"
"poha","flattened rice;beaten rice;aval"
"rava","sooji;semolina;suji;cream of wheat"
"red chilli","mirchi;chilli;chili;chilli powder"
"salt","namak"
"saunf","fennel seeds;fennel"
"semolina","sooji;rava;suji;cream of wheat"
"shakkar","cane sugar;unrefined sugar"
"sooji","semolina;rava;suji;cream of wheat"
"split pigeon peas","arhar dal;toor dal;pigeon pea"
"suji","sooji;semolina;rava;cream of wheat"
"tamarind","imli"
"toor dal","arhar dal;pigeon pea;split pigeon peas"
"turmeric","haldi;turmeric powder"
"turmeric powder","haldi;turmeric"
"unrefined sugar","shakkar;cane sugar"
"urad","urid;black gram;black lentils"
"urid","urad;black gram;black lentils"
"white radish","mooli;daikon;mouli"
"whole wheat flour","atta;chapatti flour;chakki atta;ata"
"zeera","jeera;cumin seeds;cumin"
