handle,variant_id,variant_sku,variant_barcode,product_group,variant_title,product_title,subtitle,description,brand,category_handle,collection_handle,dietary_flags,tags,allergens,ingredients,storage,country_of_origin,weight_value,weight_unit,thumbnail_url,image_filenames,velocity,eco_rating,brand_slug,vat_rate,regional_tags,subscription_eligible,status,variant_title_raw,variant_sku_raw
veenas-drumsticks,variant_01MV_VEENAS_DRUMSTICKS,veenas-drumsticks,,,,Veenas - Drumsticks (Murungaikkai),,Fresh Indian drumsticks. Essential for sambar and avial. A weekly trigger for South Indian community.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,300,g,,,A,,veenas,0,,true,published,,veenas-drumsticks
veenas-okra,variant_01MV_VEENAS_OKRA,veenas-okra,,,,Veenas - Lady's Finger (Okra / Bhindi),,Fresh okra. The #1 weekly trigger vegetable — used in bhindi masala and sambar.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 2-3 days.,India,500,g,,,A,,veenas,0,,true,published,,veenas-okra
veenas-green-chillies,variant_01MV_VEENAS_GREEN_CHILLIES,veenas-green-chillies,,,,Veenas - Green Chillies (Pachai Milagai),,Fresh Indian green chillies. Essential for tempering and chutneys.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,India,100,g,,,A,,veenas,0,,true,published,,veenas-green-chillies
veenas-tindora,variant_01MV_VEENAS_TINDORA,veenas-tindora,,,,Veenas - Tindora (Kovakkai),,Fresh tindora. Small ivy gourd popular in Gujarati and South Indian cuisine.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,400,g,,,A,,veenas,0,,true,published,,veenas-tindora
veenas-coconut-single,variant_01MV_VEENAS_COCONUT_SINGLE,veenas-coconut-single,,,,Veenas - Coconut (Single),,Fresh whole coconut. Essential for South Indian cooking and chutneys.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store at room temperature. Use within 2 weeks.,Sri Lanka,1,pc,,,A,,veenas,0,,true,published,,veenas-coconut-single
veenas-dudhi,variant_01MV_VEENAS_DUDHI,veenas-dudhi,,,,Veenas - Dudhi (Bottle Gourd),,Fresh bottle gourd. Mild and versatile — used in dudhi na muthia and curries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,India,500,g,,,A,,veenas,0,,true,published,,veenas-dudhi
veenas-karela,variant_01MV_VEENAS_KARELA,veenas-karela,,,,Veenas - Karela (Bitter Gourd),,Fresh bitter gourd. Prized in Ayurvedic cooking for its health benefits.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,500,g,,,A,,veenas,0,,true,published,,veenas-karela
veenas-small-onion,variant_01MV_VEENAS_SMALL_ONION,veenas-small-onion,,,,Veenas - Small Onion (Chinna Vengayam),,Fresh small onions. Essential for South Indian sambar and puli kulambu.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in a cool dry place. Use within 2 weeks.,India,500,g,,,A,,veenas,0,,true,published,,veenas-small-onion
veenas-turia,variant_01MV_VEENAS_TURIA,veenas-turia,,,,Veenas - Turia (Ridge Gourd),,Fresh ridge gourd. Popular in Gujarati and Sri Lankan cuisine.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,500,g,,,A,,veenas,0,,true,published,,veenas-turia
veenas-snake-gourd,variant_01MV_VEENAS_SNAKE_GOURD,veenas-snake-gourd,,,,Veenas - Snake Gourd (Pudalangai),,Fresh snake gourd. Long green gourd popular in South Indian curries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,500,g,,,A,,veenas,0,,true,published,,veenas-snake-gourd
veenas-ginger,variant_01MV_VEENAS_GINGER,veenas-ginger,,,,Veenas - Fresh Ginger (Inji),,Fresh root ginger. The universal Indian cooking essential.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 2-3 weeks.,India,300,g,,,A,,veenas,0,,true,published,,veenas-ginger
veenas-ash-plantain,variant_01MV_VEENAS_ASH_PLANTAIN,veenas-ash-plantain,,,,Veenas - Ash Plantain (Vazhakkai),,Fresh green plantain. Used in curries; chips; and South Indian dry fry dishes.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store at room temperature. Use within 5-7 days.,India,500,g,,,A,,veenas,0,,true,published,,veenas-ash-plantain
veenas-garlic,variant_01MV_VEENAS_GARLIC,veenas-garlic,,,,Veenas - Garlic (Poondu),,Fresh garlic bulbs. Essential for almost every Indian dish.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in a cool dry place. Use within 3-4 weeks.,India,,pc,,,A,,veenas,0,,true,published,,veenas-garlic
veenas-chow-chow,variant_01MV_VEENAS_CHOW_CHOW,veenas-chow-chow,,,,Veenas - Chow Chow,,"Fresh chow chow (chayote). Mild; crunchy squash popular in South Indian kootu.",Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,India,1,pc,,,A,,veenas,0,,true,published,,veenas-chow-chow
veenas-indian-onion,variant_01MV_VEENAS_INDIAN_ONION,veenas-indian-onion,,,,Veenas - Indian Onion (Bombay Onion),,Fresh Indian red onions. The base of every Indian curry.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in a cool dry place. Use within 3-4 weeks.,India,,pc,,,A,,veenas,0,,true,published,,veenas-indian-onion
veenas-long-beans,variant_01MV_VEENAS_LONG_BEANS,veenas-long-beans,,,,Veenas - Long Beans (Karamani),,Fresh long beans. Popular in thoran and stir-fries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,350,g,,,A,,veenas,0,,true,published,,veenas-long-beans
veenas-suran,variant_01MV_VEENAS_SURAN,veenas-suran,,,,Veenas - Suran (Karunai Kizhangu),,Fresh elephant foot yam. Used in South Indian curries and fries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,India,600,g,,,A,,veenas,0,,true,published,,veenas-suran
veenas-guar-beans,variant_01MV_VEENAS_GUAR_BEANS,veenas-guar-beans,,,,Veenas - Guar Beans (Cluster Beans),,Fresh cluster beans. Popular in Gujarati and Rajasthani cuisine.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,350,g,,,A,,veenas,0,,true,published,,veenas-guar-beans
